name,eissn,index,citations,jif2026,jif2025,quartile
VIRCHOWS ARCHIV,1432-2307,SCIE,8456,3.0,3.1,Q2
ASIAN JOURNAL OF ANDROLOGY,1745-7262,SCIE,5130,3.0,2.7,Q2
Global Qualitative Nursing Research,2333-3936,ESCI,1345,3.0,2.1,Q1
GROUP PROCESSES & INTERGROUP RELATIONS,1461-7188,SSCI,5140,3.0,2.3,Q2
EUROPEAN JOURNAL OF PSYCHOLOGY OF EDUCATION,1878-5174,SSCI,3999,3.0,2.8,Q2
European Journal of Sport Science,1536-7290,SCIE,7984,3.0,3.0,Q2
JID Innovations,2667-0267,ESCI,893,3.0,,Q2
HEALTH SERVICES RESEARCH,1475-6773,SCIE,11145,3.0,3.2,Q2
Paleoceanography and Paleoclimatology,2572-4525,SCIE,3140,3.0,3.2,Q2
Stata Journal,1536-8734,SSCI,9049,3.0,2.4,Q1
Chinese Physics C,2058-6132,SCIE,6909,3.0,3.1,Q2
CONTRIBUTIONS TO MINERALOGY AND PETROLOGY,1432-0967,SCIE,19390,3.0,3.7,Q2
International Review for the Sociology of Sport,1461-7218,SSCI,3071,3.0,2.6,Q2
Journal of Applied Oral Science,1678-7765,SCIE,3737,3.0,2.6,Q2
NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,1365-2990,SCIE,4383,3.0,3.4,Q2
ACTA OPHTHALMOLOGICA,1755-3768,SCIE,12091,3.0,2.8,Q2
Animal Diseases,2731-0442,ESCI,472,3.0,2.0,Q1
Current Research in Parasitology & Vector-Borne Diseases,2667-114X,ESCI,820,3.0,3.1,Q2
JOURNAL OF COGNITIVE NEUROSCIENCE,1530-8898,SCIE,15561,3.0,3.0,Q3
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,1522-1547,SCIE,14211,3.0,3.3,Q2
INTERNATIONAL JOURNAL OF WILDLAND FIRE,1448-5516,SCIE,7348,3.0,2.9,Q2
Physical Review Fluids,2469-990X,SCIE,13193,3.0,2.8,Q2
EXPERIMENTAL PHYSIOLOGY,1469-445X,SCIE,7709,3.0,2.8,Q2
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,1532-3374,SCIE,2284,3.0,2.3,Q2
EGYPTIAN JOURNAL OF SOIL SCIENCE,2357-0369,ESCI,904,3.0,3.4,Q3
Frontiers in Sports and Active Living,2624-9367,ESCI,7144,3.0,2.6,Q2
Review of Research in Education,1935-1038,SSCI,2416,3.0,2.4,Q1
TRIMESTRE ECONOMICO,0041-3011,SSCI,487,3.0,0.5,Q1
All Earth,2766-9645,SCIE,318,3.0,2.6,Q2
Bayesian Analysis,1936-0975,SCIE,3585,3.0,2.5,Q1
JOURNAL OF CHEMICAL EDUCATION,1938-1328,SCIE,23299,3.0,2.9,Q2
Royal Society Open Science,2054-5703,SCIE,20601,3.0,2.9,Q2
WORLD ECONOMY,1467-9701,SSCI,5197,3.0,2.4,Q2
FISH PHYSIOLOGY AND BIOCHEMISTRY,1573-5168,SCIE,7199,3.0,2.5,Q3
JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,1543-2904,SSCI,5207,3.0,2.6,Q2
Dairy,2624-862X,ESCI,926,3.0,3.1,Q1
Journal of Geriatric Physical Therapy,2152-0895,SCIE,2018,3.0,1.8,Q3
Environmental Research: Health,2752-5309,ESCI,301,3.0,,Q2
APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,1573-3270,SSCI,2042,3.0,2.4,Q2
EVOLUTION,1558-5646,SCIE,27014,3.0,2.6,Q2
NAR Genomics and Bioinformatics,2631-9268,ESCI,3232,3.0,2.8,Q2
PHYSICAL REVIEW A,2469-9934,SCIE,150435,3.0,2.9,Q2
IEEE MICROWAVE MAGAZINE,1557-9581,SCIE,3233,3.0,2.6,Q2
JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,1439-0469,SCIE,1539,3.0,2.6,Q2
OIKOS,1600-0706,SCIE,23000,3.0,3.0,Q2
Multiple Sclerosis and Related Disorders,2211-0356,SCIE,11247,3.0,2.9,Q2
CEREBRAL CORTEX,1460-2199,SCIE,35182,3.0,2.9,Q3
Ecosphere,2150-8925,SCIE,16574,3.0,2.9,Q2
EUROPEAN PHYSICAL JOURNAL A,1434-601X,SCIE,9651,3.0,2.8,Q2
INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,1945-7243,SCIE,3492,3.0,2.3,Q2
Journal of Pathology and Translational Medicine,2383-7845,ESCI,1230,3.0,3.0,Q2
JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY,1469-7661,SCIE,7460,3.0,2.6,Q2
PUBLIC HEALTH NUTRITION,1475-2727,SCIE,21058,3.0,3.0,Q3
Journal of Multidisciplinary Healthcare,1178-2390,SCIE,7113,3.0,2.4,Q2
MOLECULAR PHARMACOLOGY,1521-0111,SCIE,11944,3.0,3.0,Q2
Strategic Organization,1741-315X,SSCI,3428,3.0,3.8,Q3
Annals of Physics,1096-035X,SCIE,19285,3.0,3.0,Q2
Geochemistry,1611-5864,SCIE,1424,3.0,2.9,Q2
JOURNAL OF BIOLOGICAL RHYTHMS,1552-4531,SCIE,3869,3.0,2.1,Q2
JOURNAL OF THE ACM,1557-735X,SCIE,9140,3.0,2.5,Q3
Software and Systems Modeling,1619-1374,SCIE,1920,3.0,3.2,Q2
Translational Journal of the American College of Sports Medicine,2379-2868,ESCI,448,3.0,2.2,Q2
Animal Biotelemetry,2050-3385,SCIE,1161,3.0,2.5,Q2
Imaging Neuroscience,2837-6056,ESCI,1540,3.0,,Q2
Expert Opinion On Drug Safety,1744-764X,SCIE,6175,3.0,3.1,Q2
INTERNATIONAL JOURNAL OF BIOMETEOROLOGY,1432-1254,SCIE,11434,3.0,2.6,Q2
Joint Commission Journal on Quality and Patient Safety,1938-131X,ESCI,2834,3.0,2.4,Q2
NEUROPHYSIOLOGIE CLINIQUE-CLINICAL NEUROPHYSIOLOGY,1769-7131,SCIE,2269,3.0,2.4,Q2
World Journal of Psychiatry,2220-3206,SCIE,3437,3.0,3.4,Q2
BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,1365-2125,SCIE,19109,3.0,3.0,Q2
Geodesy and Geodynamics,1674-9847,ESCI,1450,3.0,3.3,Q2
JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM,1529-8027,SCIE,2369,3.0,3.2,Q2
ELECTRONIC LIBRARY,1758-616X,SSCI,1275,3.0,1.5,Q2
Frontiers in Integrative Neuroscience,1662-5145,SCIE,3700,3.0,2.9,Q1
FUNGAL GENETICS AND BIOLOGY,1096-0937,SCIE,5633,3.0,2.3,Q2
IEEE MULTIMEDIA,1941-0166,SCIE,1267,3.0,3.3,Q3
INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY,1473-5857,SCIE,2187,3.0,2.5,Q2
International Journal of Womens Dermatology,2352-6475,ESCI,1496,3.0,3.1,Q2
JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,1573-4951,SCIE,5873,3.0,3.1,Q3
ACM Transactions on Reconfigurable Technology and Systems,1936-7414,SCIE,1082,3.0,2.8,Q3
Analytical Methods,1759-9679,SCIE,22380,3.0,2.6,Q2
Annals of Occupational and Environmental Medicine,2052-4374,ESCI,1085,3.0,1.8,Q2
Earth Surface Dynamics,2196-632X,SCIE,2636,3.0,2.9,Q2
Frontiers in Genetics,1664-8021,SCIE,48362,3.0,2.8,Q2
INTERNATIONAL JOURNAL OF GENERAL SYSTEMS,1563-5104,SCIE,1636,3.0,2.9,Q2
JOURNAL OF STRUCTURAL GEOLOGY,1873-1201,SCIE,13266,3.0,2.9,Q2
NEUROGASTROENTEROLOGY AND MOTILITY,1365-2982,SCIE,10710,3.0,2.9,Q2
Trends in Psychiatry and Psychotherapy,2238-0019,ESCI,1217,3.0,2.2,Q2
Aging Male,1473-0790,SCIE,1487,3.0,2.6,Q3
Cancer Epidemiology,1877-783X,SCIE,5498,3.0,2.3,Q3
Theoretical and Applied Mechanics Letters,2589-0336,ESCI,1675,3.0,3.3,Q2
Biomechanics and Modeling in Mechanobiology,1617-7940,SCIE,5226,3.0,2.7,Q2
CHEMISTRY AND PHYSICS OF LIPIDS,1873-2941,SCIE,4655,3.0,2.8,Q3
Frontiers in Cardiovascular Medicine,2297-055X,SCIE,37024,3.0,2.9,Q2
Journal of Islamic Accounting and Business Research,1759-0825,ESCI,2064,3.0,2.8,Q2
SEXUALLY TRANSMITTED INFECTIONS,1472-3263,SCIE,4312,3.0,2.9,Q2
GENERAL RELATIVITY AND GRAVITATION,1572-9532,SCIE,9467,3.0,2.8,Q2
JOURNAL OF NONDESTRUCTIVE EVALUATION,1573-4862,SCIE,3152,3.0,2.4,Q2
MODERN PHYSICS LETTERS B,1793-6640,SCIE,7294,3.0,2.2,Q2
INFORMATION SYSTEMS MANAGEMENT,1934-8703,SCIE,1335,3.0,3.9,Q3
Journal of Tourism and Cultural Change,1747-7654,SSCI,1102,3.0,2.5,Q2
ATLA-ALTERNATIVES TO LABORATORY ANIMALS,2632-3559,SCIE,1162,3.0,3.0,Q3
CONNECTION SCIENCE,1360-0494,SCIE,1446,3.0,3.4,Q3
ENVIRONMENT AND DEVELOPMENT ECONOMICS,1469-4395,SSCI,1974,3.0,1.5,Q1
INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,1530-7921,SCIE,2634,3.0,3.9,Q3
IEEE Transactions on Games,2475-1510,SCIE,1131,3.0,2.8,Q3
INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,1471-6348,SCIE,3037,3.0,3.1,Q2
JOURNAL OF COMMUNICATIONS AND NETWORKS,1976-5541,SCIE,1282,3.0,3.2,Q3
Crisis-The Journal of Crisis Intervention and Suicide Prevention,2151-2396,SSCI,2567,3.0,2.6,Q2
CRITICAL CARE CLINICS,1557-8232,SCIE,2996,3.0,2.4,Q2
GYNECOLOGICAL ENDOCRINOLOGY,1473-0766,SCIE,5674,3.0,1.7,Q3
JBMR Plus,2473-4039,ESCI,2760,3.0,2.4,Q3
PHYSICAL CHEMISTRY CHEMICAL PHYSICS,1463-9084,SCIE,125455,3.0,2.9,Q3
Crohns & Colitis 360,2631-827X,ESCI,1025,3.0,2.6,Q2
Current Research in Translational Medicine,2452-3186,SCIE,744,3.0,3.0,Q3
JOURNAL OF GENE MEDICINE,1521-2254,SCIE,2785,3.0,2.2,Q3
COMPUTERS & FLUIDS,1879-0747,SCIE,13780,3.0,3.0,Q3
CURRENT THERAPEUTIC RESEARCH-CLINICAL AND EXPERIMENTAL,1879-0313,ESCI,1186,3.0,1.5,Q3
Environmental Research: Ecology,2752-664X,ESCI,174,3.0,,Q2
HAEMOPHILIA,1365-2516,SCIE,6580,3.0,3.0,Q2
INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,1098-1098,SCIE,2901,3.0,2.5,Q2
Journal of Environmental Policy & Planning,1522-7200,SSCI,2733,3.0,2.2,Q2
JOURNAL OF PHYSICAL CHEMISTRY A,1520-5215,SCIE,61770,3.0,2.8,Q3
Sexual Medicine Reviews,2050-0521,SCIE,2319,3.0,3.4,Q2
Food Analytical Methods,1936-976X,SCIE,9055,3.0,3.0,Q3
Infectious Diseases Now,2666-9919,SCIE,1119,3.0,2.2,Q2
International Journal of Clinical Oncology,1437-7772,SCIE,5800,3.0,2.8,Q3
Italian Journal of Agronomy,2039-6805,SCIE,1225,3.0,2.1,Q1
Journal of Affective Disorders Reports,2666-9153,ESCI,2091,3.0,,Q2
OENO One,2494-1271,SCIE,2105,3.0,2.2,Q3
GRANULAR MATTER,1434-7636,SCIE,4461,3.0,2.9,Q3
International Journal of Educational Management,1758-6518,ESCI,3117,3.0,2.4,Q3
International Journal of Cardiology Cardiovascular Risk and Prevention,2772-4875,ESCI,755,3.0,2.1,Q2
Journal of Civil Engineering and Management,1822-3605,SCIE,2664,3.0,3.7,Q2
Machines,2075-1702,SCIE,12371,3.0,2.5,Q2
Maritime Business Review,2397-3765,ESCI,452,3.0,2.4,Q3
Seeds,2674-1024,ESCI,367,3.0,,Q1
Allergy Asthma and Clinical Immunology,1710-1492,SCIE,3001,3.0,2.4,Q2
EURO Journal on Decision Processes,2193-9446,ESCI,273,3.0,2.1,Q3
Neuroscience Applied,2772-4085,ESCI,307,3.0,,Q3
APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,1432-0630,SCIE,30397,3.0,2.8,Q3
COMPUTER SPEECH AND LANGUAGE,1095-8363,SCIE,2969,3.0,3.4,Q3
Operational Research,1866-1505,SCIE,1912,3.0,2.7,Q2
OPERATIONS RESEARCH,N/A,SSCI,16696,3.0,2.6,Q3
BioMedicine-Taiwan,2211-8039,ESCI,996,3.0,2.5,Q1
Integrating Materials and Manufacturing Innovation,2193-9772,SCIE,1365,3.0,2.5,Q3
Journal of Marine Science and Application,1993-5048,ESCI,1725,3.0,2.1,Q2
ACS Food Science & Technology,2692-1944,ESCI,3412,3.0,2.8,Q3
JOURNAL OF PHYSICAL AND CHEMICAL REFERENCE DATA,1529-7845,SCIE,8074,3.0,3.2,Q2
METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,1543-1940,SCIE,36699,3.0,2.5,Q3
Rheumatology and Immunology Research,2719-4523,ESCI,345,3.0,2.5,Q3
Footwear Science,1942-4299,ESCI,698,3.0,3.8,Q2
Frontiers in Horticulture,2813-3595,ESCI,258,3.0,,Q2
POLYMER INTERNATIONAL,1097-0126,SCIE,7874,3.0,3.6,Q3
Beverages,2306-5710,ESCI,2628,3.0,2.7,Q3
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,1552-4981,SCIE,10477,3.0,3.4,Q3
JOURNAL OF CELLULAR BIOCHEMISTRY,1097-4644,SCIE,18559,3.0,2.8,Q3
CELL BIOCHEMISTRY AND BIOPHYSICS,1559-0283,SCIE,5028,3.0,2.5,Q3
CONTINUUM MECHANICS AND THERMODYNAMICS,1432-0959,SCIE,2598,3.0,2.2,Q2
EPJ Techniques and Instrumentation,2195-7045,ESCI,323,3.0,1.9,Q2
QUARTERLY REVIEW OF BIOLOGY,1539-7718,SCIE,4265,3.0,3.2,Q2
Water Reuse,2709-6106,SCIE,561,3.0,3.3,Q3
GLYCOCONJUGATE JOURNAL,1573-4986,SCIE,2787,3.0,3.1,Q3
HONG KONG MEDICAL JOURNAL,1024-2708,SCIE,1854,3.0,2.6,Q1
International Journal of Intelligent Robotics and Applications,2366-598X,ESCI,1054,3.0,2.0,Q3
Avicenna Journal of Phytomedicine,2228-7949,ESCI,1807,3.0,2.2,Q3
CyTA-Journal of Food,1947-6345,SCIE,3073,3.0,1.7,Q3
Frontiers in Built Environment,2297-3362,ESCI,4705,3.0,2.7,Q2
JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,1873-4766,SCIE,44688,3.0,3.0,Q3
MOLECULAR BIOLOGY OF THE CELL,1939-4586,SCIE,24907,3.0,2.7,Q3
Frontiers in Microbiomes,2813-4338,ESCI,444,3.0,,Q3
JOURNAL OF CELLULAR PLASTICS,1530-7999,SCIE,1105,3.0,3.0,Q2
JOURNAL OF POROUS MATERIALS,1573-4854,SCIE,5510,3.0,3.2,Q2
JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1752-1688,SCIE,6000,3.0,2.2,Q3
BMC Molecular and Cell Biology,2661-8850,SCIE,928,3.0,2.7,Q3
Expert Review of Anticancer Therapy,1744-8328,SCIE,4327,3.0,2.8,Q3
In vitro models,2731-3441,ESCI,224,3.0,2.4,Q3
INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH,1664-2821,SCIE,1752,3.0,2.5,Q3
Regenerative Medicine,1746-076X,SCIE,2210,3.0,2.6,Q3
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,2374-8079,SCIE,5241,3.0,2.0,Q2
Journal of Infrastructure Preservation and Resilience,2662-2521,ESCI,443,3.0,,Q2
ChemistryOpen,2191-1363,SCIE,3260,3.0,3.1,Q2
Nano Express,2632-959X,ESCI,1479,3.0,2.5,Q3
TRANSFUSION MEDICINE REVIEWS,1532-9496,SCIE,1698,3.0,2.5,Q2
Journal of Metals Materials and Minerals,0857-6149,ESCI,969,3.0,1.5,Q3
IEEE Open Journal of Nanotechnology,2644-1292,ESCI,304,3.0,1.9,Q3
Journal of Medical Artificial Intelligence,2617-2496,ESCI,350,3.0,,Q3
ChemPhotoChem,2367-0932,SCIE,3188,3.0,3.0,Q3
ENERGY EXPLORATION & EXPLOITATION,2048-4054,SCIE,2708,3.0,1.6,Q3
POSITIF,N/A,AHCI,84,3.0,0.1,N/A
International Journal of Law and Information Technology,1464-3693,ESCI,438,2.9,2.2,Q1
Journal of Asian Public Policy,1751-6242,SSCI,800,2.9,1.1,Q1
METAPHOR AND SYMBOL,1532-7868,AHCI,1197,2.9,3.3,N/A
UNIVERSITY OF PENNSYLVANIA LAW REVIEW,N/A,SSCI,2683,2.9,3.1,Q1
Research in Developmental Disabilities,1873-3379,SSCI,11114,2.9,2.6,Q1
Constructive Mathematical Analysis,2651-2939,ESCI,251,2.9,1.8,Q1
Mathematical Modelling and Control,2767-8946,ESCI,283,2.9,2.7,Q1
MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,1793-6314,SCIE,5056,2.9,3.0,Q1
JOURNAL OF ARCHAEOLOGICAL SCIENCE,1095-9238,SSCI,16401,2.9,2.5,Q1
Behavioural Public Policy,2398-0648,ESCI,1260,2.9,3.1,Q2
MINERVA,1573-1871,SSCI,1847,2.9,3.2,Q1
SIAM JOURNAL ON SCIENTIFIC COMPUTING,1095-7197,SCIE,18660,2.9,2.6,Q1
BMC Primary Care,2731-4553,SCIE,3510,2.9,2.6,Q1
Sociological Methodology,1467-9531,SSCI,3488,2.9,2.5,Q1
NEWSLETTERS ON STRATIGRAPHY,N/A,SCIE,950,2.9,2.6,Q1
IBIS,1474-919X,SCIE,5616,2.9,2.1,Q1
Research and Practice in Technology Enhanced Learning,1793-7078,ESCI,1129,2.9,3.0,Q1
Qualitative Research,1741-3109,SSCI,6876,2.9,2.9,Q1
EDUCATIONAL EVALUATION AND POLICY ANALYSIS,1935-1062,SSCI,3166,2.9,2.7,Q1
Seminars in Fetal & Neonatal Medicine,1878-0946,SCIE,3487,2.9,2.8,Q1
JOURNAL OF REFRACTIVE SURGERY,1938-2391,SCIE,5379,2.9,3.0,Q2
Nuclear Engineering and Technology,1738-5733,SCIE,9906,2.9,2.6,Q1
Assessment in Education-Principles Policy & Practice,1465-329X,SSCI,1943,2.9,2.2,Q1
EUROPEAN JOURNAL OF PEDIATRICS,1432-1076,SCIE,13647,2.9,2.6,Q1
Sleep Medicine Clinics,1556-4088,ESCI,2854,2.9,4.9,Q2
SOCIOLOGICAL REVIEW,1467-954X,SSCI,6274,2.9,2.4,Q1
INTERNATIONAL MIGRATION REVIEW,1747-7379,SSCI,5640,2.9,2.4,Q1
AMERICAN JOURNAL OF EMERGENCY MEDICINE,1532-8171,SCIE,16036,2.9,2.2,Q2
EuroChoices,1746-692X,ESCI,581,2.9,3.1,Q2
CLINICAL REHABILITATION,1477-0873,SCIE,9485,2.9,2.9,Q1
ANIMAL WELFARE,2054-1538,SCIE,3271,2.9,2.3,Q1
EVOLUTION AND HUMAN BEHAVIOR,1879-0607,SCIE,4954,2.9,3.2,Q2
HEALTH COMMUNICATION,1532-7027,SSCI,10122,2.9,2.7,Q1
JOURNAL OF SYSTEMATIC PALAEONTOLOGY,1478-0941,SCIE,1929,2.9,2.2,Q2
JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,1940-5480,SCIE,12038,2.9,2.8,Q1
Critical Studies in Education,1750-8495,SSCI,1670,2.9,2.7,Q1
JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,1460-7425,SSCI,1896,2.9,2.0,Q1
SAGE Open Nursing,2377-9608,ESCI,2739,2.9,2.5,Q1
THERIOGENOLOGY,1879-3231,SCIE,21043,2.9,2.5,Q2
CYTOMETRY PART B-CLINICAL CYTOMETRY,1552-4957,SCIE,1928,2.9,2.7,Q2
HEALTH PSYCHOLOGY,1930-7810,SCIE,12641,2.9,3.2,Q2
Journal of Academic Ethics,1572-8544,ESCI,1219,2.9,3.3,Q1
Professional Development in Education,1941-5265,SSCI,2851,2.9,3.1,Q1
INTERNATIONAL JOURNAL OF TECHNOLOGY AND DESIGN EDUCATION,1573-1804,SSCI,2486,2.9,2.7,Q1
ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,1432-0673,SCIE,13798,2.9,2.4,Q1
FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,1793-6543,SCIE,5968,2.9,2.9,Q1
Journal of Minimally Invasive Gynecology,1553-4669,SCIE,6487,2.9,3.3,Q2
PS-POLITICAL SCIENCE & POLITICS,1537-5935,SSCI,3957,2.9,1.8,Q1
Research Ethics,2047-6094,ESCI,768,2.9,2.2,Q1
REVIEW OF GENERAL PSYCHOLOGY,1939-1552,SSCI,7622,2.9,3.2,Q1
PHYSICA D-NONLINEAR PHENOMENA,1872-8022,SCIE,16389,2.9,2.9,Q1
Asian Nursing Research,2093-7482,"SCIE, SSCI",1935,2.9,2.3,Q1
RACE & CLASS,1741-3125,SSCI,1364,2.9,2.8,Q1
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,1552-3357,SSCI,3070,2.9,2.5,Q2
EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY,1532-2130,SCIE,4266,2.9,2.3,Q2
Journal of Studies in International Education,1552-7808,SSCI,2392,2.9,2.0,Q1
Espiral-Cuadernos del Profesorado,1988-7701,ESCI,235,2.9,1.3,Q1
China & World Economy,1749-124X,SSCI,1598,2.9,3.6,Q1
COMMUNICATIONS IN MATHEMATICAL PHYSICS,1432-0916,SCIE,29844,2.9,2.6,Q1
EUROPEAN JOURNAL OF APPLIED PHYSIOLOGY,1439-6327,SCIE,20409,2.9,2.7,Q2
PALEOBIOLOGY,1938-5331,SCIE,4651,2.9,2.7,Q2
JOURNAL OF HEALTH COMMUNICATION,1087-0415,SSCI,6383,2.9,2.4,Q1
Asia-Pacific Journal of Teacher Education,1469-2945,SSCI,1461,2.9,1.6,Q1
NEUROPSYCHOLOGY,1931-1559,SCIE,5715,2.9,3.0,Q3
Osteoarthritis and Cartilage Open,2665-9131,ESCI,1238,2.9,2.8,Q1
Critical Discourse Studies,1740-5912,SSCI,1411,2.9,2.1,Q1
Orthopaedic Journal of Sports Medicine,2325-9671,SCIE,13228,2.9,2.5,Q1
NEUROEPIDEMIOLOGY,1423-0208,SCIE,4723,2.9,4.0,Q2
BMC Nephrology,1471-2369,SCIE,12594,2.9,2.4,Q2
European Journal of Dental Education,1600-0579,SCIE,3540,2.9,1.9,Q2
JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,1438-7573,SCIE,2524,2.9,2.3,Q3
Restorative Dentistry and Endodontics,2234-7666,ESCI,2117,2.9,1.5,Q2
Annals of Animal Science,2300-8733,SCIE,2389,2.9,2.2,Q1
New Directions for Child and Adolescent Development,1534-8687,SSCI,2157,2.9,2.1,Q2
Open Mind-Discoveries in Cognitive Science,2470-2986,ESCI,471,2.9,,Q2
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,1872-616X,SCIE,30823,2.9,2.7,Q2
PSYCHOMETRIKA,1860-0980,SCIE,15786,2.9,3.1,Q1
Gender in Management,1754-2421,SSCI,2006,2.9,2.6,Q3
Journal of Patient-Reported Outcomes,2509-8020,ESCI,2912,2.9,2.9,Q2
Behavioral and Brain Functions,1744-9081,SCIE,1881,2.9,3.3,Q2
Journal of Oral & Facial Pain and Headache,2333-0376,SCIE,1562,2.9,2.4,Q2
ATOMIC SPECTROSCOPY,2708-521X,SCIE,1199,2.9,2.3,Q2
Environmental Health and Preventive Medicine,1347-4715,"SCIE, SSCI",3721,2.9,2.5,Q2
Fungal Biology,1878-6162,SCIE,4224,2.9,3.0,Q3
Geriatric Nursing,1528-3984,SCIE,5752,2.9,2.4,Q3
Journal of Structural Biology-X,2590-1524,ESCI,419,2.9,5.1,Q3
STRESS AND HEALTH,1532-2998,"SCIE, SSCI",5030,2.9,2.7,Q2
Fishes,2410-3888,SCIE,5634,2.9,2.4,Q2
IAWA JOURNAL,2294-1932,SCIE,2164,2.9,3.5,Q2
INTERNATIONAL JOURNAL OF UROLOGY,1442-2042,SCIE,5428,2.9,2.2,Q2
JOURNAL OF PHYSICAL OCEANOGRAPHY,1520-0485,SCIE,18156,2.9,3.0,Q2
DRUG AND ALCOHOL REVIEW,1465-3362,SSCI,5141,2.9,2.6,Q2
CANCER CYTOPATHOLOGY,1934-6638,SCIE,3016,2.9,3.2,Q3
SPE JOURNAL,1930-0220,SCIE,10492,2.9,3.0,Q2
Wellbeing Space and Society,2666-5581,ESCI,753,2.9,2.2,Q1
Endoscopy International Open,2196-9736,ESCI,4752,2.9,2.3,Q2
INDUSTRIAL AND COMMERCIAL TRAINING,1758-5767,ESCI,1033,2.9,2.1,Q3
International Journal of Public Sector Management,1758-6666,ESCI,1865,2.9,2.5,Q3
SEISMOLOGICAL RESEARCH LETTERS,1938-2057,SCIE,9371,2.9,3.2,Q2
ADDICTION RESEARCH & THEORY,1476-7392,SSCI,2316,2.9,2.0,Q1
CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,1099-0879,SSCI,6356,2.9,2.7,Q2
Applied Mathematics in Science and Engineering,2769-0911,SCIE,497,2.9,2.5,Q2
BEHAVIOURAL BRAIN RESEARCH,1872-7549,SCIE,26773,2.9,2.3,Q2
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,1432-1262,SCIE,8582,2.9,2.3,Q2
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH,1753-6405,"SCIE, SSCI",4153,2.9,2.4,Q2
AIDS,1473-5571,SCIE,13944,2.9,3.1,Q3
CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,1526-1506,SCIE,5854,2.9,2.5,Q2
Spatial Economic Analysis,1742-1780,SSCI,1064,2.9,2.2,Q1
Asian Geographer,2158-1762,ESCI,255,2.9,2.2,Q1
European Physical Journal Plus,2190-5444,SCIE,20092,2.9,2.9,Q2
Investigative and Clinical Urology,2466-054X,SCIE,1494,2.9,2.1,Q2
Simulation in Healthcare-Journal of the Society for Simulation in Healthcare,1559-713X,SCIE,2645,2.9,2.1,Q2
Clinics in Liver Disease,1557-8224,SCIE,3196,2.9,4.1,Q2
MICROBES AND INFECTION,1769-714X,SCIE,6701,2.9,2.7,Q3
ACR Open Rheumatology,2578-5745,ESCI,1734,2.9,2.8,Q2
JOURNAL OF ACADEMIC LIBRARIANSHIP,1879-1999,SSCI,3073,2.9,2.3,Q2
Pacific Asia Journal of the Association for Information Systems,1943-7544,ESCI,471,2.9,3.3,Q2
AGING & MENTAL HEALTH,1364-6915,SCIE,11742,2.9,2.4,Q3
ALCOHOL,1873-6823,SCIE,3173,2.9,2.9,Q2
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY,1600-0528,SCIE,5788,2.9,2.1,Q2
Medicina-Lithuania,1648-9144,SCIE,30609,2.9,2.4,Q1
MUSCLE & NERVE,1097-4598,SCIE,13835,2.9,3.1,Q2
PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY,1097-9867,SCIE,4117,2.9,2.5,Q2
Social and Personality Psychology Compass,1751-9004,SSCI,8807,2.9,2.8,Q2
